Composition (at. %),Material condition,Processing history,Phase,Grain_size_um,Density_g_cm3,Hardness_GPa,Youngs_modulus_GPa,Yield_strength_MPa,UTS_MPa,Final_elongation_percent,Testing_temperature_K,Fracture_toughness_MPa_m0.5,Toughness_measure,Toughness_uncertainty_MPa_m0.5,Reference
Co20.00-Cr20.00-Fe20.00-Mn20.00-Ti20.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 100h),BCC+C14 Laves,,,,,,,,298.0,2.98,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min),BCC+C14 Laves,,,,,,,,298.0,2.67,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 1h),BCC+C14 Laves,,,,,,,,298.0,2.53,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 10h),BCC+C14 Laves,,,,,,,,298.0,2.91,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 20h),BCC+C14 Laves,,,,,,,,298.0,3.12,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 50h),BCC+C14 Laves,,,,,,,,298.0,3.04,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Co19.00-Cr19.00-Cu2.50-Fe19.00-Mn19.00-O2.50-Ti19.00,annealed,high-pulse sintered (1000°C & 1min) + annealed (1000°C & 100h),BCC+C14 Laves,,,,,,,,298.0,3.39,KIC,,"Górniewicz1a, D., Jóźwiak, S., Przygucki, H. & Kopec, M. The concept of improving the fracture toughness of double-phase high entropy alloy produced by high-pulse sintering method U-FAST. 15th International Conference on Advances in Experimental Mechanics"
Al2.78-C33.33-Co2.78-Cr2.78-Fe2.78-Ni2.78-V2.78-W50.00,as-sintered,"SPS (1100°C, 50MPa, & 10min)","BCC+FCC+WC+Fe(Co,Ni)3W3C",,10.9,0.1353366,,,,,298.0,12.8,KIC,0.2,"Solodkyi, I., Teslia, S., Bezdorozhev, O., Trosnikova, I., Yurkova, O., Bogomol, I. & Loboda, P. Hardmetals prepared from WC-W2C eutectic particles and AlCrFeCoNiV high entropy alloy as a binder. Vacuum 195, doi:10.1016/j.vacuum.2021.110630 (2022)."
Al2.78-C33.33-Co2.78-Cr2.78-Fe2.78-Ni2.78-V2.78-W50.00,as-sintered,"SPS (1200°C, 50MPa, & 10min)",BCC+FCC+WC,,11.0,0.16083479999999997,,,,,298.0,16.6,KIC,0.4,"Solodkyi, I., Teslia, S., Bezdorozhev, O., Trosnikova, I., Yurkova, O., Bogomol, I. & Loboda, P. Hardmetals prepared from WC-W2C eutectic particles and AlCrFeCoNiV high entropy alloy as a binder. Vacuum 195, doi:10.1016/j.vacuum.2021.110630 (2022)."
Al2.78-C33.33-Co2.78-Cr2.78-Fe2.78-Ni2.78-V2.78-W50.00,as-sintered,"SPS (1400°C, 50MPa, & 10min)",BCC+FCC+WC,,11.6,0.1559313,,,,,298.0,17.2,KIC,0.2,"Solodkyi, I., Teslia, S., Bezdorozhev, O., Trosnikova, I., Yurkova, O., Bogomol, I. & Loboda, P. Hardmetals prepared from WC-W2C eutectic particles and AlCrFeCoNiV high entropy alloy as a binder. Vacuum 195, doi:10.1016/j.vacuum.2021.110630 (2022)."
